Amor NEA quantity: 353 (how many times we can actually see NEA asteroids)
Amor NEA Unique quantity: 187
Amor NEAs: 
b'-' b'2018 TN6' b'12 30 13.5473' b'-08 54 47.479' b'NEA>Amor' b'24.2' b'5.133' b'867.701' b'187.5564470336761' b'-8.913188583314101' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2018+TN6'
b'452561' b'2005 AB' b'00 01 30.1121' b'-05 13 3.050' b'NEA>Amor' b'25.1' b'0.128' b'625.723' b'0.3754669001572026' b'-5.217513781193179' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+AB'
b'452561' b'2005 AB' b'00 01 30.9277' b'-05 12 59.105' b'NEA>Amor' b'25.1' b'0.128' b'435.256' b'0.37886540046493666' b'-5.216418101969438' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+AB'
b'452561' b'2005 AB' b'00 01 31.7432' b'-05 12 55.162' b'NEA>Amor' b'25.1' b'0.128' b'731.381' b'0.3822632338497972' b'-5.215322798606004' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+AB'
b'-' b'2013 FY7' b'00 09 32.3505' b'-04 08 1.017' b'NEA>Amor' b'26.9' b'0.134' b'62.795' b'2.3847938612407575' b'-4.133615927628674' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+FY7'
b'105141' b'2000 NF11' b'00 10 17.4554' b'-03 58 46.412' b'NEA>Amor' b'22.3' b'0.103' b'811.723' b'2.572731011566515' b'-3.979558890142617' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2000+NF11'
b'-' b'2016 RH18' b'00 33 12.4451' b'-03 15 35.092' b'NEA>Amor' b'25.3' b'0.631' b'708.892' b'8.301854379306008' b'-3.2597478100472967' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+RH18'
b'-' b'2018 YJ' b'00 43 42.6333' b'-02 56 39.726' b'NEA>Amor' b'25.0' b'0.125' b'879.467' b'10.927638600686196' b'-2.944368324846425' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2018+YJ'
b'-' b'2020 MB3' b'02 14 16.8428' b'+05 52 40.402' b'NEA>Amor' b'27.2' b'95.442' b'657.036' b'33.57017817300089' b'5.877889315312598' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+MB3'
b'-' b'2021 BH1' b'02 33 23.1494' b'+06 27 44.065' b'NEA>Amor' b'27.3' b'0.0' b'633.549' b'38.346455807421165' b'6.4622401825398645' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2021+BH1'
b'2608' b'Seneca' b'02 59 48.1763' b'+07 04 30.486' b'NEA>Amor' b'24.0' b'2.827' b'529.235' b'44.95073450430824' b'7.0751349975311815' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===Seneca'
